oem,oem_norm,fbt
00002971000,00002971000,FBT40787
00008134,00008134,FBT40601
00020306,00020306,FBT40847
00021331,00021331,FBT41285
000697789,000697789,FBT13726
0010087,0010087,FBT40322
001-214190-10,00121419010,FBT40152
001-220027-07,00122002707,FBT40152
001-220402-13,00122040213,FBT40152
001-228026-10,00122802610,FBT41191
001-234234-10,00123423410,FBT41269
001 280 7,0012807,FBT40098
001 899 4,0018994,FBT40436
002 241 8,0022418,FBT13604
002 651 0523,0026510523,FBT40262
002 775 5,0027755,FBT40113
003011102,003011102,FBT13802
003011111,003011111,FBT13620
003011113,003011113,FBT13723
003021004,003021004,FBT13472
003021005,003021005,FBT13503
003021101,003021101,FBT40038
003021103,003021103,FBT13782
003021106,003021106,FBT40031
003021108,003021108,FBT40031
003021109,003021109,FBT13503
003021112,003021112,FBT13786
003021115,003021115,FBT40705
003031004,003031004,FBT13505
003031005,003031005,FBT40040
003031008,003031008,FBT40189
003031009,003031009,FBT13823
003031011,003031011,FBT40040
003031106,003031106,FBT13505
003031111,003031111,FBT13792
003031112,003031112,FBT13794
003031120,003031120,FBT40082
003 039 5,0030395,FBT40254
003040002,003040002,FBT13914
003040102,003040102,FBT13849
003040104,003040104,FBT40026
003041001,003041001,FBT40342
003041002,003041002,FBT13814
003041004,003041004,FBT13637
003041005,003041005,FBT13646
003041103,003041103,FBT13661
003041104,003041104,FBT13664
003041107,003041107,FBT13481
003041108,003041108,FBT13793
003041110,003041110,FBT13721
003041120,003041120,FBT13721
003050101,003050101,FBT13573
003050101,003050101,FBT13616
003050102,003050102,FBT13611
003050103,003050103,FBT13618
003050105,003050105,FBT13617
003050107,003050107,FBT13611
003060001,003060001,FBT13630
003060003,003060003,FBT13732
003060004,003060004,FBT13804
003060005,003060005,FBT13808
003060006,003060006,FBT13807
003060101,003060101,FBT13733
003060102,003060102,FBT13806
003060103,003060103,FBT13727
003060104,003060104,FBT13809
003060105,003060105,FBT40033
003060106,003060106,FBT13665
003060108,003060108,FBT13790
003060109,003060109,FBT13805
003071001,003071001,FBT40424
003071002,003071002,FBT40424
003071003,003071003,FBT13830
003071005,003071005,FBT40424
003071007,003071007,FBT40959
003071008,003071008,FBT40425
003071009,003071009,FBT41039
003071012,003071012,FBT40730
003071016,003071016,FBT41252
003071017,003071017,FBT41057
003071019,003071019,FBT40421
003071020,003071020,FBT13830
003071021,003071021,FBT40424
003071023,003071023,FBT40057
003071024,003071024,FBT40422
003071026,003071026,FBT43413
003071029,003071029,FBT43410
003071030,003071030,FBT40426
003071032,003071032,FBT40423
003071033,003071033,FBT40553
003071036,003071036,FBT40422
003071041,003071041,FBT40117
003071042,003071042,FBT40384
003071043,003071043,FBT40516
003071044,003071044,FBT40580
003071045,003071045,FBT40580
003071046,003071046,FBT40426
003071050,003071050,FBT41039
003071051,003071051,FBT40429
003071054,003071054,FBT40517
003071057,003071057,FBT40438
003071058,003071058,FBT40522
003071059,003071059,FBT40517
003071064,003071064,FBT40387
003071066,003071066,FBT40516
003071067,003071067,FBT40420
003071068,003071068,FBT40517
003071071,003071071,FBT40532
003071073,003071073,FBT40532
003071075,003071075,FBT40744
003071076,003071076,FBT13903
003071077,003071077,FBT40395
003071078,003071078,FBT40669
003071080,003071080,FBT40437
003071082,003071082,FBT40668
003071083,003071083,FBT40662
003071084,003071084,FBT40807
003071089,003071089,FBT41047
003071090,003071090,FBT40983
003071091,003071091,FBT41106
003071093,003071093,FBT41105
003071094,003071094,FBT41041
003071095,003071095,FBT41106
003071096,003071096,FBT41106
003071097,003071097,FBT40521
003071098,003071098,FBT41057
003071099,003071099,FBT40555
003072001,003072001,FBT40782
003072002,003072002,FBT40721
003072003,003072003,FBT13610
003072004,003072004,FBT40784
003072005,003072005,FBT40601
003072006,003072006,FBT40601
003072007,003072007,FBT40601
003072014,003072014,FBT40753
003072015,003072015,FBT40472
003072018,003072018,FBT40170
003072019,003072019,FBT40382
003072022,003072022,FBT40096
003072024,003072024,FBT40176
003072026,003072026,FBT40184
003072028,003072028,FBT40186
003072030,003072030,FBT40181
003072032,003072032,FBT40171
003072033,003072033,FBT40175
003072043,003072043,FBT40523
003072048,003072048,FBT41185
003072050,003072050,FBT13604
003072051,003072051,FBT41186
003072052,003072052,FBT41186
003072053,003072053,FBT41378
003072055,003072055,FBT40749
003072056,003072056,FBT41102
003072057,003072057,FBT40813
003081001,003081001,FBT13610
003081006,003081006,FBT13604
003081010,003081010,FBT40010
003081018,003081018,FBT40170
003081019,003081019,FBT40382
003081022,003081022,FBT40096
003081024,003081024,FBT40176
003081026,003081026,FBT40184
003081028,003081028,FBT40186
003081030,003081030,FBT40181
003081031,003081031,FBT40181
003081032,003081032,FBT40171
003081033,003081033,FBT40175
003081042,003081042,FBT40472
003081043,003081043,FBT40523
003101119,003101119,FBT40677
003130001,003130001,FBT13743
003130002,003130002,FBT40061
003130003,003130003,FBT40063
003130005,003130005,FBT13743
003141004,003141004,FBT40183
003141005,003141005,FBT13964
003141006,003141006,FBT40052
003141012,003141012,FBT40152
003141015,003141015,FBT40050
003141016,003141016,FBT13964
003141017,003141017,FBT40051
003141021,003141021,FBT40179
003141022,003141022,FBT40219
003141023,003141023,FBT40051
003141027,003141027,FBT40256
003141028,003141028,FBT40219
