hr,fabname,model,source
HR 7568,MICROVITEC,CUB 1431,series-3-manual
HR 7568,MICROVITEC,CUB 1431 MS,series-3-manual
HR 7568,MICROVITEC,CUB 1431 MZ,series-3-manual
HR 7568,MICROVITEC,CUB 1431 DS,series-3-manual
HR 7568,MICROVITEC,CUB 1432,series-3-manual
HR 7568,MICROVITEC,CUB 1441,series-3-manual
HR 7568,MICROVITEC,CUB 1442,series-3-manual
HR 7568,MICROVITEC,CUB 1451,series-3-manual
HR 7568,MICROVITEC,CUB 1451 MS,series-3-manual
HR 7568,MICROVITEC,CUB 1451 MS2,series-3-manual
HR 7568,MICROVITEC,CUB 1451 MS4,series-3-manual
HR 7568,MICROVITEC,CUB 2030,series-3-manual
HR 7568,MICROVITEC,CUB 2031,series-3-manual
HR 7568,MICROVITEC,CUB 2032,series-3-manual
HR 7568,MICROVITEC,CUB 2040,series-3-manual
HR 7568,MICROVITEC,CUB 653,series-3-manual
HRT 241 BP,MICROVITEC,CUB 1431,community
HRT 241 BP,MICROVITEC,CUB 1431 MS,community
HRT 241 BP,MICROVITEC,CUB 1431 MZ,community
HRT 241 BP,MICROVITEC,CUB 1432,community
HRT 241 BP,MICROVITEC,CUB 1441,community
HRT 241 BP,MICROVITEC,CUB 1442,community
HRT 241 BP,MICROVITEC,CUB 1451,community
HRT 241 BP,MICROVITEC,CUB 1451 MS,community
HRT 241 BP,MICROVITEC,CUB 1451 MS2,community
HRT 241 BP,MICROVITEC,CUB 1451 MS4,community
HRT 241 BP,MICROVITEC,CUB 2030,community
HRT 241 BP,MICROVITEC,CUB 2040,community
HRT 241 BP,MICROVITEC,CUB 653,community
