code,code_norm,path,src
FA061WJ-SA,FA061WJSA,data/pinout-diagrams/FA061WJSA.png,datapin_b
154-138L,154138L,data/pinout-diagrams/154138L.png,datapin_b
BSC24-01N4019L,BSC2401N4019L,data/pinout-diagrams/BSC2401N4019L.png,datapin_b
JF0501-1901,JF05011901,data/pinout-diagrams/JF05011901.png,datapin_b
BSC24-N40G1,BSC24N40G1,data/pinout-diagrams/BSC24N40G1.png,datapin_b
BSC25-3504V,BSC253504V,data/pinout-diagrams/BSC253504V.png,datapin_b
BSC24-09G,BSC2409G,data/pinout-diagrams/BSC2409G.png,datapin_b
BSC25-N0449,BSC25N0449,data/pinout-diagrams/BSC25N0449.png,datapin_b
BSC22-68F03,BSC2268F03,data/pinout-diagrams/BSC2268F03.png,datapin_b
FCM2014FL,FCM2014FL,data/pinout-diagrams/FCM2014FL.png,datapin_b
FCM14A025,FCM14A025,data/pinout-diagrams/FCM14A025.png,datapin_b
JF0501-1914,JF05011914,data/pinout-diagrams/JF05011914.png,datapin_b
BSC25-0231,BSC250231,data/pinout-diagrams/BSC250231.png,datapin_b
BSC25-F1125A,BSC25F1125A,data/pinout-diagrams/BSC25F1125A.png,datapin_b
BSC25-N0313,BSC25N0313,data/pinout-diagrams/BSC25N0313.png,datapin_b
BSC25-2678S,BSC252678S,data/pinout-diagrams/BSC252678S.png,datapin_b
BSC25-023D,BSC25023D,data/pinout-diagrams/BSC25023D.png,datapin_b
BSC25-0113,BSC250113,data/pinout-diagrams/BSC250113.png,datapin_b
BSC25-N0211,BSC25N0211,data/pinout-diagrams/BSC25N0211.png,datapin_b
TFB4125CH,TFB4125CH,data/pinout-diagrams/TFB4125CH.png,datapin_b
BSC25-05N2135C,BSC2505N2135C,data/pinout-diagrams/BSC2505N2135C.png,datapin_b
FCM-20B061N,FCM20B061N,data/pinout-diagrams/FCM20B061N.png,datapin_b
JF0601-19577,JF060119577,data/pinout-diagrams/JF060119577.png,datapin_b
DST2010-D91,DST2010D91,data/pinout-diagrams/DST2010D91.png,datapin_b
BCS28-2198,BCS282198,data/pinout-diagrams/BCS282198.png,datapin_b
6174Z-6238L,6174Z6238L,data/pinout-diagrams/6174Z6238L.png,datapin_b
6174Z-6005U,6174Z6005U,data/pinout-diagrams/6174Z6005U.png,datapin_b
6174V-6006V,6174V6006V,data/pinout-diagrams/6174V6006V.png,datapin_b
154-374A,154374A,data/pinout-diagrams/154374A.png,datapin_b
JF0501-91802,JF050191802,data/pinout-diagrams/JF050191802.png,datapin_b
BCS25-4004U,BCS254004U,data/pinout-diagrams/BCS254004U.png,datapin_b
BCS25-N1603,BCS25N1603,data/pinout-diagrams/BCS25N1603.png,datapin_b
FCM-21A004,FCM21A004,data/pinout-diagrams/FCM21A004.png,datapin_b
BSC23-N0121,BSC23N0121,data/pinout-diagrams/BSC23N0121.png,datapin_b
6174V-6006E,6174V6006E,data/pinout-diagrams/6174V6006E.png,datapin_b
6174V-6006H,6174V6006H,data/pinout-diagrams/6174V6006H.png,datapin_b
FA137WJZZ,FA137WJZZ,data/pinout-diagrams/FA137WJZZ.png,datapin_b
BSC25-0217B,BSC250217B,data/pinout-diagrams/BSC250217B.png,datapin_b
L40B9001,L40B9001,data/pinout-diagrams/L40B9001.png,datapin_b
L40B05500,L40B05500,data/pinout-diagrams/L40B05500.png,datapin_b
FCM14A032,FCM14A032,data/pinout-diagrams/FCM14A032.png,datapin_b
FCM2015HE,FCM2015HE,data/pinout-diagrams/FCM2015HE.png,datapin_b
FCK14A006,FCK14A006,data/pinout-diagrams/FCK14A006.png,datapin_b
JF0501-1206,JF05011206,data/pinout-diagrams/JF05011206.png,datapin_b
FSA16012M,FSA16012M,data/pinout-diagrams/FSA16012M.png,datapin_b
DCF-1577,DCF1577,data/pinout-diagrams/DCF1577.png,datapin_b
DCF-2077A,DCF2077A,data/pinout-diagrams/DCF2077A.png,datapin_b
DCF-2077D,DCF2077D,data/pinout-diagrams/DCF2077D.png,datapin_b
F0141PE-M,F0141PEM,data/pinout-diagrams/F0141PEM.png,datapin_b
FCK-14B047,FCK14B047,data/pinout-diagrams/FCK14B047.png,datapin_b
TFB4122BD,TFB4122BD,data/pinout-diagrams/TFB4122BD.png,datapin_b
TFB4122BD,TFB4122BD,data/pinout-diagrams/TFB4122BD.png,datapin_b
2435521,2435521,data/pinout-diagrams/2435521.png,datapin_b
BSC25-N3604,BSC25N3604,data/pinout-diagrams/BSC25N3604.png,datapin_b
TLF4G503F,TLF4G503F,data/pinout-diagrams/TLF4G503F.png,datapin_b
TLF4N052,TLF4N052,data/pinout-diagrams/TLF4N052.png,datapin_b
F02299PE-B,F02299PEB,data/pinout-diagrams/F02299PEB.png,datapin_b
F0102KM,F0102KM,data/pinout-diagrams/F0102KM.png,datapin_b
F0101KM-SA,F0101KMSA,data/pinout-diagrams/F0101KMSA.png,datapin_b
BSC24-08B,BSC2408B,data/pinout-diagrams/BSC2408B.png,datapin_b
BSC25-Z601F,BSC25Z601F,data/pinout-diagrams/BSC25Z601F.png,datapin_b
BSC25-N1617,BSC25N1617,data/pinout-diagrams/BSC25N1617.png,datapin_b
BSC25-N1617,BSC25N1617,data/pinout-diagrams/BSC25N1617.png,datapin_b
FSV-14A004C,FSV14A004C,data/pinout-diagrams/FSV14A004C.png,datapin_b
FSV20A099,FSV20A099,data/pinout-diagrams/FSV20A099.png,datapin_b
F0147PE-M,F0147PEM,data/pinout-diagrams/F0147PEM.png,datapin_b
F0147PE-M,F0147PEM,data/pinout-diagrams/F0147PEM.png,datapin_b
FOK14A001,FOK14A001,data/pinout-diagrams/FOK14A001.png,datapin_b
154-177B,154177B,data/pinout-diagrams/154177B.png,datapin_b
TLF15644F1,TLF15644F1,data/pinout-diagrams/TLF15644F1.png,datapin_b
