code,code_norm,equiv,equiv_norm,src
BSC24-N40G1,BSC24N40G1,BSC24-01N4006EV,BSC2401N4006EV,datapin_b
BSC24-N40G1,BSC24N40G1,BSC25-09N20E,BSC2509N20E,datapin_b
BSC24-N40G1,BSC24N40G1,BSC25-T1010A,BSC25T1010A,datapin_b
BSC24-N40G1,BSC24N40G1,BSC25-Z603F,BSC25Z603F,datapin_b
BSC24-N40G1,BSC24N40G1,BSC24-01N4006EVR,BSC2401N4006EVR,datapin_b
BSC24-N40G1,BSC24N40G1,BCS28-2198,BCS282198,datapin_b
BSC25-3504V,BSC253504V,BSC22-0106,BSC220106,datapin_b
BSC25-3504V,BSC253504V,BSC25-05N1418,BSC2505N1418,datapin_b
BSC25-3504V,BSC253504V,BSC25-05N2135C,BSC2505N2135C,datapin_b
BSC25-N0449,BSC25N0449,BSC22-68F03,BSC2268F03,datapin_b
BSC22-68F03,BSC2268F03,BSC25-N0449,BSC25N0449,datapin_b
FCM2014FL,FCM2014FL,FCM14A025,FCM14A025,datapin_b
FCM14A025,FCM14A025,FCM2014FL,FCM2014FL,datapin_b
JF0501-1914,JF05011914,BSC25-0231,BSC250231,datapin_b
BSC25-0231,BSC250231,JF0501-1914,JF05011914,datapin_b
BSC25-F1125A,BSC25F1125A,BSC24-014001D,BSC24014001D,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-N0321,BSC25N0321,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-N1534,BSC25N1534,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-N1634,BSC25N1634,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-Z1003,BSC25Z1003,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-Z2705,BSC25Z2705,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-Z2706,BSC25Z2706,datapin_b
BSC25-F1125A,BSC25F1125A,BSC25-N0313,BSC25N0313,datapin_b
BSC25-N0313,BSC25N0313,BSC24-014001D,BSC24014001D,datapin_b
BSC25-N0313,BSC25N0313,BSC25-N0321,BSC25N0321,datapin_b
BSC25-N0313,BSC25N0313,BSC25-N1534,BSC25N1534,datapin_b
BSC25-N0313,BSC25N0313,BSC25-N1634,BSC25N1634,datapin_b
BSC25-N0313,BSC25N0313,BSC25-Z1003,BSC25Z1003,datapin_b
