code,code_norm,pin,function,volts,src
154-064P,154064P,1,COL,,datapin_a
154-064P,154064P,2,180V,180.0,datapin_a
154-064P,154064P,3,B+,,datapin_a
154-064P,154064P,4,GND,,datapin_a
154-064P,154064P,5,16V,16.0,datapin_a
154-064P,154064P,6,24V,24.0,datapin_a
154-064P,154064P,7,40V,40.0,datapin_a
154-064P,154064P,8,ABL,,datapin_a
154-064P,154064P,9,HTR,,datapin_a
154-064P,154064P,10,AFC,,datapin_a
154-177B,154177B,1,COL,,datapin_a
154-177B,154177B,2,180V,180.0,datapin_a
154-177B,154177B,3,B+,,datapin_a
154-177B,154177B,4,GND,,datapin_a
154-177B,154177B,5,16V,16.0,datapin_a
154-177B,154177B,6,24V,24.0,datapin_a
154-177B,154177B,7,40V,40.0,datapin_a
154-177B,154177B,8,ABL,,datapin_a
154-177B,154177B,9,HTR,,datapin_a
154-177B,154177B,10,AFC,,datapin_a
FCK-14B047,FCK14B047,1,COL,,datapin_a
FCK-14B047,FCK14B047,2,180V,180.0,datapin_a
FCK-14B047,FCK14B047,3,B+,,datapin_a
FCK-14B047,FCK14B047,4,GND,,datapin_a
FCK-14B047,FCK14B047,5,16V,16.0,datapin_a
FCK-14B047,FCK14B047,6,24V,24.0,datapin_a
FCK-14B047,FCK14B047,7,40V,40.0,datapin_a
FCK-14B047,FCK14B047,8,ABL,,datapin_a
FCK-14B047,FCK14B047,9,HTR,,datapin_a
FCK-14B047,FCK14B047,10,AFC,,datapin_a
6174Z-8005C,6174Z8005C,1,COL,,datapin_a
6174Z-8005C,6174Z8005C,2,180,180.0,datapin_a
6174Z-8005C,6174Z8005C,3,B+,,datapin_a
6174Z-8005C,6174Z8005C,4,GND,,datapin_a
6174Z-8005C,6174Z8005C,5,NC,,datapin_a
6174Z-8005C,6174Z8005C,6,24,24.0,datapin_a
6174Z-8005C,6174Z8005C,7,GND,,datapin_a
6174Z-8005C,6174Z8005C,8,ABL,,datapin_a
6174Z-8005C,6174Z8005C,9,HT -AFC,,datapin_a
154-064G,154064G,1,COL,,datapin_a
154-064G,154064G,2,180V,180.0,datapin_a
154-064G,154064G,3,B+,92.0,datapin_a
154-064G,154064G,4,BOOST UP,,datapin_a
154-064G,154064G,5,24V,24.0,datapin_a
154-064G,154064G,6,12V,12.0,datapin_a
154-064G,154064G,7,GND,,datapin_a
154-064G,154064G,8,ABL,,datapin_a
154-064G,154064G,9,HTR,,datapin_a
154-064G,154064G,10,AFC,,datapin_a
154-177E untk,154177EUNTK,1,COL,,datapin_a
154-177E untk,154177EUNTK,2,180V,180.0,datapin_a
154-177E untk,154177EUNTK,3,B+,92.0,datapin_a
154-177E untk,154177EUNTK,4,BOOST UP,,datapin_a
154-177E untk,154177EUNTK,5,24V,24.0,datapin_a
154-177E untk,154177EUNTK,6,12V,12.0,datapin_a
154-177E untk,154177EUNTK,7,GND,,datapin_a
154-177E untk,154177EUNTK,8,ABL,,datapin_a
154-177E untk,154177EUNTK,9,HTR,,datapin_a
154-177E untk,154177EUNTK,10,AFC,,datapin_a
154 - 132A,154132A,1,COL,,datapin_a
154 - 132A,154132A,2,40V,40.0,datapin_a
154 - 132A,154132A,3,16.5,16.5,datapin_a
154 - 132A,154132A,4,HTR,,datapin_a
154 - 132A,154132A,5,GND,,datapin_a
154 - 132A,154132A,6,B+,,datapin_a
154 - 132A,154132A,7,180V,180.0,datapin_a
154 - 132A,154132A,8,GND,,datapin_a
154 - 132A,154132A,9,ABL,,datapin_a
154 - 132A,154132A,10,40V,40.0,datapin_a
154 - 132C,154132C,1,COL,,datapin_a
154 - 132C,154132C,2,40V,40.0,datapin_a
154 - 132C,154132C,3,16.5,16.5,datapin_a
154 - 132C,154132C,4,HTR,,datapin_a
154 - 132C,154132C,5,GND,,datapin_a
154 - 132C,154132C,6,B+,,datapin_a
154 - 132C,154132C,7,180V,180.0,datapin_a
154 - 132C,154132C,8,GND,,datapin_a
154 - 132C,154132C,9,ABL,,datapin_a
154 - 132C,154132C,10,40V,40.0,datapin_a
6174V - 600H,6174V600H,1,COL,,datapin_a
6174V - 600H,6174V600H,2,40V,40.0,datapin_a
6174V - 600H,6174V600H,3,16.5,16.5,datapin_a
6174V - 600H,6174V600H,4,HTR,,datapin_a
6174V - 600H,6174V600H,5,GND,,datapin_a
6174V - 600H,6174V600H,6,B+,,datapin_a
6174V - 600H,6174V600H,7,180V,180.0,datapin_a
6174V - 600H,6174V600H,8,GND,,datapin_a
6174V - 600H,6174V600H,9,ABL,,datapin_a
6174V - 600H,6174V600H,10,40V,40.0,datapin_a
6174Z - 6040C,6174Z6040C,1,COL,,datapin_a
6174Z - 6040C,6174Z6040C,2,40V,40.0,datapin_a
6174Z - 6040C,6174Z6040C,3,16.5,16.5,datapin_a
6174Z - 6040C,6174Z6040C,4,HTR,,datapin_a
6174Z - 6040C,6174Z6040C,5,GND,,datapin_a
6174Z - 6040C,6174Z6040C,6,B+,,datapin_a
6174Z - 6040C,6174Z6040C,7,180V,180.0,datapin_a
6174Z - 6040C,6174Z6040C,8,GND,,datapin_a
6174Z - 6040C,6174Z6040C,9,ABL,,datapin_a
6174Z - 6040C,6174Z6040C,10,40V,40.0,datapin_a
BSC 23 - N0107,BSC23N0107,1,COL,,datapin_a
BSC 23 - N0107,BSC23N0107,2,40V,40.0,datapin_a
BSC 23 - N0107,BSC23N0107,3,16.5,16.5,datapin_a
BSC 23 - N0107,BSC23N0107,4,HTR,,datapin_a
BSC 23 - N0107,BSC23N0107,5,GND,,datapin_a
BSC 23 - N0107,BSC23N0107,6,B+,,datapin_a
BSC 23 - N0107,BSC23N0107,7,180V,180.0,datapin_a
BSC 23 - N0107,BSC23N0107,8,GND,,datapin_a
BSC 23 - N0107,BSC23N0107,9,ABL,,datapin_a
BSC 23 - N0107,BSC23N0107,10,40V,40.0,datapin_a
154 189 C,154189C,1,COL,,datapin_a
154 189 C,154189C,2,B+,,datapin_a
154 189 C,154189C,3,180V,180.0,datapin_a
154 189 C,154189C,4,16V,16.0,datapin_a
154 189 C,154189C,5,24V,24.0,datapin_a
154 189 C,154189C,6,HTR,,datapin_a
154 189 C,154189C,7,GND,,datapin_a
154 189 C,154189C,8,ABL,,datapin_a
154 189 C,154189C,9,AFC,,datapin_a
154 189 C,154189C,10,NC,,datapin_a
154 189 H,154189H,1,COL,,datapin_a
154 189 H,154189H,2,B+,,datapin_a
154 189 H,154189H,3,180V,180.0,datapin_a
154 189 H,154189H,4,16V,16.0,datapin_a
154 189 H,154189H,5,24V,24.0,datapin_a
154 189 H,154189H,6,HTR,,datapin_a
154 189 H,154189H,7,GND,,datapin_a
154 189 H,154189H,8,ABL,,datapin_a
154 189 H,154189H,9,AFC,,datapin_a
154 189 H,154189H,10,NC,,datapin_a
154 277 C,154277C,1,COL,,datapin_a
154 277 C,154277C,2,B+,,datapin_a
154 277 C,154277C,3,180V,180.0,datapin_a
154 277 C,154277C,4,16V,16.0,datapin_a
154 277 C,154277C,5,24V,24.0,datapin_a
154 277 C,154277C,6,HTR,,datapin_a
154 277 C,154277C,7,GND,,datapin_a
154 277 C,154277C,8,ABL,,datapin_a
154 277 C,154277C,9,AFC,,datapin_a
154 277 C,154277C,10,NC,,datapin_a
BSC 22-2314 H,BSC222314H,1,COL,,datapin_a
BSC 22-2314 H,BSC222314H,2,B+,,datapin_a
BSC 22-2314 H,BSC222314H,3,180V,180.0,datapin_a
BSC 22-2314 H,BSC222314H,4,16V,16.0,datapin_a
BSC 22-2314 H,BSC222314H,5,24V,24.0,datapin_a
BSC 22-2314 H,BSC222314H,6,HTR,,datapin_a
BSC 22-2314 H,BSC222314H,7,GND,,datapin_a
BSC 22-2314 H,BSC222314H,8,ABL,,datapin_a
BSC 22-2314 H,BSC222314H,9,AFC,,datapin_a
