oem,hr,fk,offset
0 XX 40431.090,HR 140431,64004,2928210
0-2223-074,HR 7325,43267,2940162
0-2223-075,HR 7322,42755,2940201
0-2223-076,HR 7323,43267,2940240
0-2223-077,HR 7324,43779,2940279
0-2223-078,HR 7326,44547,2940318
0-2223-081,HR 7327,43267,2940357
0-2223-083,HR 7323,42755,2940396
0-2223-091,HR 8066,43779,2940435
0.001,HR 2460,42242,2928255
0.002,HR 2169,44034,2928289
0.003,HR 5163,43522,2928323
0.004,HR 2450,42754,2928357
0.005,HR 2461,43522,2928391
0.007,HR 1621,43266,2928425
0.009,HR 2053,43778,2928459
0.01,HR 6024,29954,2928493
0.010,HR 1177,43266,2928526
0.0105,HR 6004,55298,2928560
0.0107,HR 7097,59138,2928595
0.013,HR 2080/15,15107,2931765
0.014,HR 1153,42754,2931802
0.015,HR 3522,43522,2931836
0.016,HR 3509,45058,2931870
0.017,HR 2151,43266,2931904
0.018,HR 2080/10,15107,2931938
0.019,HR 2041,43266,2931975
0.020,HR 2114,41474,2932009
0.022,HR 1120,40962,2932043
0.023,HR 2045,43010,2932077
0.024,HR 2121,41986,2932111
0.026,HR 2063/00,14851,2932145
0.027,HR 3601,43778,2932182
0.029,HR 3583,46594,2932216
0.031,HR 3504,43010,2932250
0.032,HR 1123,41986,2932284
0.034,HR 3120,42242,2932318
0.036,HR 3507,45058,2932352
0.037,HR 3520,44034,2932386
0.039,HR 3612,45058,2932420
0.040,HR 51/01,53762,2932454
0.042,HR 2063/03,15107,2932489
0.048,HR 3511,44546,2932526
0.052,HR 2141,42754,2932560
0.057,HR 2080/20,16131,2932594
0.059,HR 5505,46338,2932631
0.060,HR 2080/00,14083,2932665
0.062,HR 1160,43010,2932702
0.063,HR 3578,47106,2933789
0.064,HR 5126,45058,2933823
0.067,HR 3602,45058,2933857
0.070,HR 5157,45314,2933891
0.071,HR 2161,43522,2933925
0.073,HR 1165,44802,2933959
0.074,HR 2013,43266,2933993
0.075,HR 1117,44546,2934027
0.076,HR 2031/22,15875,2934061
0.077,HR 3505,45826,2934098
0.079,HR 3604,46338,2934132
0.081,HR 2051,43266,2934166
0.082,HR 2082,44546,2934200
0.083,HR 1161,44034,2934234
0.085,HR 3503,45058,2934268
0.087,HR 3690,47362,2934302
0.088,HR 1197,47618,2934336
0.090,HR 2063/02,15619,2934370
0.091,HR 2050,43266,2934407
0.093,HR 3501,44290,2934441
0.094,HR 3611,45058,2934475
0.097,HR 3610,45570,2934509
0.101,HR 2011,40450,2934543
0.102,HR 2014,41474,2934577
0.106,HR 2017,43266,2934611
0.109,HR 1100,41986,2934645
0.110,HR 2080/06,14595,2934679
0.116,HR 3505,44290,2934716
0.122,HR 2115,42498,2934750
0.125,HR 2143,43522,2936861
0.127,HR 5525,45826,2936895
0.132,HR 2171,43266,2936929
0.133,HR 2459,45826,2936963
0.134,HR 2110,41986,2936997
0.137,HR 2445,45570,2937031
0.138,HR 3202,43778,2937065
0.139,HR 3682,47106,2937099
0.140,HR 2181,43266,2937133
0.141,HR 3508,44546,2937167
0.144,HR 3519,45826,2937201
0.145,HR 3534,45314,2937235
0.146,HR 2152,44290,2937269
0.148,HR 3530,45058,2937303
0.149,HR 3512,45314,2937337
0.151,HR 2458,45570,2937371
0.155,HR 3515,45314,2937405
0.159,HR 2070,45058,2937439
0.160,HR 1121,41986,2937473
0.162,HR 3502,43778,2937507
0.164,HR 2175,45570,2937541
0.165,HR 1152,44290,2937575
0.166,HR 3658,47874,2937609
0.169,HR 1101,43778,2937643
0.172,HR 1150,43266,2937677
0.173,HR 3613,45058,2937711
0.174,HR 1162,44546,2937745
0.175,HR 1122,43778,2937779
0.183,HR 3518,46338,2937813
0.186,HR 7020,45058,2939958
0.192,HR 3516,45826,2939992
0.202,HR 3535,44034,2940026
0.205,HR 1629,45314,2940060
0.216,HR 6310,43778,2940094
0.277,HR 3652,47106,2940128
00 218,HR 2110,51458,2946747
00 595 43,HR 7871,27395,2946782
00 604 55,HR 7731,24579,2946820
00 616 46,HR 6498,27651,2946858
00 619 16,HR 7344,25347,2946896
00 619 6,HR 7344,12803,2946934
00 656 92,HR 7140,25091,2946971
00 707 25,HR 7834,25859,2947009
00 D-3-508-001,HR 7453,26884,2940516
00 D-3-508-002,HR 7453,27140,2940559
00 D-3-508-003,HR 7478,29188,2940602
00 D-3-508-003 PL1,HR 7478,24325,2940645
00 D-3-515-001 PL1,HR 7478,23301,2940692
00 D-4-198-001,HR 6276,28932,2940739
00 D-4-198-003,HR 6071,27652,2940782
00 D-4-208-001,HR 6128,25860,2940825
00 D-4-208-002,HR 6128,26116,2940868
00 D-4-235-002 01G,HR 7165,12293,2943078
00 D-4-235-002 01G1,HR 7165,24837,2943125
00 D-4-235-002 HT1,HR 7165,21765,2943031
00 D-4-247-001,HR 7151,25860,2943173
00 D-4-247-001 HT1,HR 7151,20997,2943216
00 D-4-260-004 HT1,HR 7453,21765,2943263
00 H 07010500,HR 5544,12548,2943310
00 H 07012400,HR 6067,13060,2943352
00 H 07012500,HR 7361,12804,2943394
00 H 07012700,HR 6182,13316,2943436
00 H 07012800,HR 6182,13572,2943478
00 H 07012900,HR 6157,14340,2943520
00 H 07013100,HR 6032,10500,2943562
00 H 07013500,HR 6159,14084,2943604
00 H 07013600,HR 6175,13828,2943646
00 H 07014500,HR 5805,13572,2943688
00 H 07014600,HR 5807,14340,2943730
00 H 07015000,HR 5803,12036,2943772
00 H 07015600,HR 2064,12548,2943814
00 H 07015700,HR 5804,14084,2943856
00 H 07015800,HR 5802,13828,2943898
00 H 07016200,HR 6160,12036,2943940
00 H 07018100,HR 7208,13316,2946101
00 H 07018200,HR 5544,13828,2946143
00 H 07018300,HR 7359,15620,2946185
00 H 07018900,HR 7228,15876,2946227
00 H 07019200,HR 5802,13316,2946269
00 H-0-701-2400,HR 6067,39428,2946311
00 H-0-701-3100,HR 6032,36868,2946355
00 H-0-701-3500,HR 6159,40452,2946399
00 H-0-701-3600,HR 6175,40196,2946443
00 H-0-701-5600,HR 2064,38916,2946487
00 H-0-701-7200,HR 7713,39940,2946531
00 H-0-701-8900,HR 7228,42244,2946575
00 J 02051900,HRT 209,21508,2946619
00 J-2-051-900,HRT 209,35588,2946661
00 X-6-714-001,HR 7453,32516,2946704
000 003 013,HR 3013,43011,2950899
000 003 016,HR 3016,44547,2950939
000 003 044,HR 3044,45059,2950979
000 003 054,HR 3054,45571,2951019
000 003 085,HR 3085,47619,2951059
000 003 125,HR 3125,45059,2951099
000 18124,HR 8899,31747,2951139
000 18169,HR 80060,41219,2953253
000 697 789,HR 6132,54275,2953292
000 697 801,HR 6115,50691,2953332
000 75231,HR 8988,32003,2953372
000 TX 3125,HR 3125,64515,2950859
0000.0100,HR 6024,25859,2953448
0000.0101,HR 6035,26627,2953486
0000.0103,HR 6036,27395,2953524
0000.0105,HR 6004,26627,2953562
0000.0106,HR 6020,26371,2953600
0000.0107,HR 7097,30467,2953638
0000.0108,HR 7006,28163,2953676
0000.0109,HR 6195,30467,2953714
0000.0123,HR 6024,27139,2953752
00000100,HR 6024,14083,2953790
00000101,HR 6035,14851,2953827
00000103,HR 6036,15619,2953864
00000105,HR 6004,14851,2953901
00000106,HR 6020,14595,2953938
00000107,HR 7097,18691,2953975
00000108,HR 7006,16387,2954012
00000109,HR 6195,18691,2954049
00000123,HR 6024,15363,2954086
000003013,HR 3013,26627,2954123
000003016,HR 3016,28163,2954161
000003044,HR 3044,28675,2954199
000003085,HR 3085,31235,2956352
000003125,HR 3125,28675,2956390
00002971000,HR 6657,58627,2956428
00007500561,HR I06L20021,517,2956468
00008108,HR 80143,31491,2956513
00008134,HR 8118,19459,2956551
00008134000,HR 8118,56323,2956588
0000872,HR 7442,7171,2956628
0001,HR 2460,30466,2956664
00018124,HR 8899,23555,2956697
00018169,HR 80060,33027,2956734
0002,HR 2169,32258,2956772
00020306,HR 8800,17667,2956805
00021331,HR 80077,31235,2956842
0003,HR 5163,31746,2956880
0004,HR 2450,30978,2956913
0005,HR 2461,31746,2956946
000697789,HR 6132,37891,2956979
000697801,HR 6115,34307,2957017
0007,HR 1621,31490,2957055
00075231,HR 8988,23811,2957088
00088711283,HR 6005,60163,2957125
0009,HR 2053,32002,2957165
000TX3125,HR 3125,48131,2953410
001,HR 6024,18178,2957198
001 150 09,HRT 227 BP,23300,2957230
001 280 7,HR 6468,25603,2957272
001 899 4,HR 7398,7168,2958363
001-214001-04,HR 7457,14340,2958401
001-214002-05,HR 7457,14852,2958443
001-214190-10,HR 8605,14852,2958485
001-214192-10,HR 8517,15876,2958527
001-214211-10,HR 8538,14596,2958569
001-214314-14,HR 8605,15364,2958611
001-214701-13,HR 7470,14852,2958653
001-220002-04,HR 7900,12036,2958695
001-220027-02,HR 7438,14852,2958737
001-220027-07,HR 7438,16132,2958779
001-220027-27,HR 7438,16644,2958821
001-220104-16,HR 8123,13060,2958863
001-220216-16,HR 8123,14084,2958905
001-220402-13,HR 7729,15364,2958947
001-220402-19,HR 7729,16900,2958989
001-220501-10,HR 7432,12292,2959031
001-220502-10,HR 7432,12548,2959073
001-228026-10,HR 8921,15876,2959115
001-228079-05,HR 8921,18948,2959157
001-229084-13,HR 80118,29700,2959199
001-229901-05,HR 8921,17668,2959242
001-229911-05,HR 8973,19716,2959284
001-234151-10,HR 80081,26372,2959326
