oem,hr,fk,offset
0-2223-074,HR 7325,43267,899245
0-2223-075,HR 7322,42755,899284
0-2223-076,HR 7323,43267,899323
0-2223-077,HR 7324,43779,899362
0-2223-078,HR 7326,44547,899401
0-2223-081,HR 7327,43267,899440
0-2223-083,HR 7323,42755,899479
0-2223-091,HR 8066,43779,899518
0.001,HR 2460,42242,889362
0.002,HR 2169,44034,889396
0.003,HR 5163,43522,889430
0.004,HR 2450,42754,889464
0.005,HR 2461,43522,889498
0.007,HR 1621,43266,889532
0.009,HR 2053,43778,889566
0.01,HR 6024,29954,889600
0.010,HR 1177,43266,889633
0.0105,HR 6004,55298,889667
0.0107,HR 7097,59138,889702
0.012,HR 2440,42242,889737
0.013,HR 2080/15,15107,889771
0.014,HR 1153,42754,889808
0.016,HR 3509,45058,890929
0.017,HR 2151,43266,890963
0.018,HR 2080/10,15107,890997
0.019,HR 2041,43266,891034
0.020,HR 2114,41474,891068
0.022,HR 1120,40962,891102
0.023,HR 2045,43010,891136
0.024,HR 2121,41986,891170
0.026,HR 2063/00,14851,891204
0.027,HR 3601,43778,891241
0.029,HR 3583,46594,891275
0.031,HR 3504,43010,891309
0.032,HR 1123,41986,891343
0.034,HR 3120,42242,891377
0.036,HR 3507,45058,891411
0.037,HR 3520,44034,891445
0.039,HR 3612,45058,891479
0.040,HR 51/01,53762,891513
0.042,HR 2063/03,15107,891548
0.048,HR 3511,44546,891585
0.052,HR 2141,42754,891619
0.057,HR 2080/20,16131,891653
0.059,HR 5505,46338,891690
0.060,HR 2080/00,14083,891724
0.062,HR 1160,43010,891761
0.063,HR 3578,47106,891795
0.064,HR 5126,45058,891829
0.067,HR 3602,45058,891863
0.071,HR 2161,43522,894008
0.073,HR 1165,44802,894042
0.074,HR 2013,43266,894076
0.075,HR 1117,44546,894110
0.076,HR 2031/22,15875,894144
0.077,HR 3505,45826,894181
0.079,HR 3604,46338,894215
0.081,HR 2051,43266,894249
0.082,HR 2082,44546,894283
0.083,HR 1161,44034,894317
0.085,HR 3503,45058,894351
0.087,HR 3690,47362,894385
0.088,HR 1197,47618,894419
0.090,HR 2063/02,15619,894453
0.091,HR 2050,43266,894490
0.093,HR 3501,44290,894524
0.094,HR 3611,45058,894558
0.097,HR 3610,45570,894592
0.101,HR 2011,40450,894626
0.102,HR 2014,41474,894660
0.106,HR 2017,43266,894694
0.109,HR 1100,41986,894728
0.110,HR 2080/06,14595,894762
0.116,HR 3505,44290,894799
0.122,HR 2115,42498,894833
0.125,HR 2143,43522,894867
0.127,HR 5525,45826,894901
0.132,HR 2171,43266,894935
0.134,HR 2110,41986,897080
0.137,HR 2445,45570,897114
0.138,HR 3202,43778,897148
0.139,HR 3682,47106,897182
0.140,HR 2181,43266,897216
0.141,HR 3508,44546,897250
0.144,HR 3519,45826,897284
0.145,HR 3534,45314,897318
0.146,HR 2152,44290,897352
0.148,HR 3530,45058,897386
0.149,HR 3512,45314,897420
0.151,HR 2458,45570,897454
0.155,HR 3515,45314,897488
0.159,HR 2070,45058,897522
0.160,HR 1121,41986,897556
0.162,HR 3502,43778,897590
0.164,HR 2175,45570,897624
0.165,HR 1152,44290,897658
0.166,HR 3658,47874,897692
0.169,HR 1101,43778,897726
0.172,HR 1150,43266,897760
0.173,HR 3613,45058,897794
0.174,HR 1162,44546,897828
0.175,HR 1122,43778,897862
0.183,HR 3518,46338,897896
0.184,HR 6018,46082,897930
0.186,HR 7020,45058,897964
0.192,HR 3516,45826,897998
0.202,HR 3535,44034,899109
0.205,HR 1629,45314,899143
0.216,HR 6310,43778,899177
0.277,HR 3652,47106,899211
00 218,HR 2110,51458,905403
00 619 6,HR 7344,12803,905438
00 D-3-508-001,HR 7453,26884,899557
00 D-3-508-002,HR 7453,27140,899600
00 D-3-508-003,HR 7478,29188,899643
00 D-3-515-001 PL1,HR 7478,23301,899686
00 D-4-198-001,HR 6276,28932,899733
00 D-4-198-003,HR 6071,27652,899776
00 D-4-208-001,HR 6128,25860,899819
00 D-4-208-002,HR 6128,26116,899862
00 D-4-235-002,HR 7082,26116,899905
00 D-4-235-002 01G,HR 7165,12293,899995
00 D-4-235-002 01G1,HR 7165,24837,900042
00 D-4-235-002 HT1,HR 7165,21765,899948
00 D-4-247-001 HT1,HR 7151,20997,903234
00 D-4-260-004 HT1,HR 7453,21765,903281
00 H 07012400,HR 6067,13060,903328
00 H 07012500,HR 7361,12804,903370
00 H 07013100,HR 6032,10500,903412
00 H 07013500,HR 6159,14084,903454
00 H 07013600,HR 6175,13828,903496
00 H 07014500,HR 5805,13572,903538
00 H 07014600,HR 5807,14340,903580
00 H 07015000,HR 5803,12036,903622
00 H 07015600,HR 2064,12548,903664
