oem,oem_norm,hr_raw,hr_code,matched
0000.0100,00000100,HR6024,HR 6024,1
0000.0101,00000101,HR6035,HR 6035,1
0000.0103,00000103,HR6036,HR 6036,1
0000.0105,00000105,HR6004,HR 6004,1
0000.0106,00000106,HR6020,HR 6020,1
0000.0107,00000107,HR7097,HR 7097,1
0000.0108,00000108,HR7006,HR 7006,1
0000.0109,00000109,HR6195,HR 6195,1
0000.0123,00000123,HR6024,HR 6024,1
000003013,000003013,HR3013,HR 3013,1
000003016,000003016,HR3016,HR 3016,1
000003044,000003044,HR3044,HR 3044,1
000003054,000003054,HR3054,HR 3054,1
000003085,000003085,HR3085,HR 3085,1
000003125,000003125,HR3125,HR 3125,1
00002971000,00002971000,HR6657,HR 6657,1
00003741,00003741,HR47335,HR 47335,0
00008108,00008108,HR80143,HR 80143,0
00008134,00008134,HR8118,HR 8118,1
00008134000,00008134000,HR8118,HR 8118,1
000085-0,0000850,HR42121,HR 42121,0
000085-1,0000851,HR47312,HR 47312,0
0000872,0000872,HR7442,HR 7442,1
0.001,0001,HR2460,HR 2460,1
00018124,00018124,HR8899,HR 8899,1
00018169,00018169,HR80060,HR 80060,1
0.002,0002,HR2169,HR 2169,1
00020306,00020306,HR8800,HR 8800,1
00021331,00021331,HR80077,HR 80077,1
00026032,00026032,HR80490,HR 80490,1
00029033,00029033,HR81742,HR 81742,1
0.003,0003,HR5163,HR 5163,1
0003-06A,000306A,HR46565,HR 46565,0
00032965,00032965,HR80487,HR 80487,0
00033359,00033359,HR80488,HR 80488,0
00034733,00034733,HR80489,HR 80489,0
0.004,0004,HR2450,HR 2450,1
0.005,0005,HR2461,HR 2461,1
000697789,000697789,HR6132,HR 6132,1
000697801,000697801,HR6115,HR 6115,1
0.007,0007,HR1621,HR 1621,1
00075231,00075231,HR8988,HR 8988,1
00088711283,00088711283,HR6005,HR 6005,1
0.009,0009,HR2053,HR 2053,1
000TX3125,000TX3125,HR3125,HR 3125,1
0.01,001,HR6024,HR 6024,1
0.010,0010,HR1177,HR 1177,1
0010087,0010087,HR7839,HR 7839,1
0010122,0010122,HR7484,HR 7484,1
0.0105,00105,HR6004,HR 6004,1
0.0107,00107,HR7097,HR 7097,1
0.012,0012,HR2440,HR 2440,1
